School,Major,Planned_Enrollment_2020,Grade_Line_2020,Rank_2020,Planned_Enrollment_2021,Grade_Line_2021,Rank_2021,Planned_Enrollment_2022,Grade_Line_2022,Rank_2022,Level,First_Class,Property,Average_Rank
山西财经大学,财政学,2,576,48164,2,559,49925,2,555,53557,省重点,none,公办,50549
青岛大学,财政学,none,none,none,none,none,none,29,555,52952,省重点,none,公办,52952
山东财经大学,财政学类(地方专项计划),none,none,none,10,557,52569,20,553,55447,省重点,none,公办,54008
安徽财经大学,财政学类,6,570,54483,7,555,54491,4,552,56740,省重点,none,公办,55238
中国民航大学,工商管理类(航空运输管理),none,none,none,12,560,48758,10,556,51508,省重点,none,公办,50133
青岛大学,信息管理与信息系统(地方专项计划),5,574,49885,5,559,50157,5,557,50462,省重点,none,公办,50168
四川师范大学,财务管理,3,574,50200,2,560,48702,2,556,51860,省重点,none,公办,50254
重庆交通大学,管理科学与工程类,3,578,45964,3,558,50592,3,554,54266,省重点,none,公办,50274
江西师范大学,工商管理(互联网创业方向),none,none,none,1,559,50358,none,none,none,省重点,none,公办,50358
南京审计大学,工程管理(中外合作办学),2,577,46704,2,561,47628,2,552,57347,none,none,公办,50560
华东交通大学,人力资源管理,2,577,46884,2,560,48580,2,553,56239,省重点,none,公办,50568
上海应用技术大学,大数据管理与应用,3,570,55067,3,560,48389,3,559,48410,none,none,公办,50622
安徽师范大学,工商管理类,5,574,50638,4,558,50895,none,none,none,省重点,none,公办,50767
西安建筑科技大学,城市管理,2,580,44447,2,559,49347,2,551,58549,省重点,none,公办,50781
集美大学,物流管理,3,582,42479,3,561,47356,3,547,62892,省重点,none,公办,50909
天津科技大学,物流管理与工程类,3,573,50941,none,none,none,none,none,none,省重点,none,公办,50941
北京物资学院,大数据管理与应用,1,577,47192,1,556,52730,1,555,52991,none,none,公办,50971
中国民航大学,交通管理(飞行运行管理),15,576,47714,15,560,48767,15,552,57010,省重点,none,公办,51164
华侨大学,行政管理(数字政府治理、社会福利、公共危机管理方向),none,none,none,none,none,none,4,557,51344,"全国重点,省重点",none,公办,51344
华侨大学,旅游管理类,2,589,35752,2,559,49375,6,543,69291,"全国重点,省重点",none,公办,51473
天津工业大学,信息管理与信息系统(中外合作办学),10,574,49960,10,556,52917,12,556,51544,省重点,一流学科,公办,51474
山西财经大学,工商管理,2,573,51807,2,557,51639,2,557,51333,省重点,none,公办,51593
北京联合大学,人力资源管理,2,574,50550,1,559,49706,2,553,55466,none,none,公办,51907
上海工程技术大学,旅游管理(邮轮经济),2,575,49433,2,559,49969,2,552,56341,none,none,公办,51914
江西财经大学,物流管理(智慧供应链),3,583,41376,4,554,56167,4,551,58594,省重点,none,公办,52046
西安建筑科技大学,工商管理,none,none,none,2,560,49110,3,553,55080,省重点,none,公办,52095
中国石油大学(北京)克拉玛依校区,行政管理,none,none,none,4,555,54805,5,558,49553,211,一流学科,公办,52179
青海大学,工商管理类,18,568,57094,none,none,none,6,560,47284,211,一流学科,公办,52189
华侨大学,工商管理类(中美121双学位班、可接轨ACCA国际注会),4,580,43561,4,556,53820,4,550,59586,"全国重点,省重点",none,公办,52322
浙江中医药大学,健康服务与管理,1,573,51723,2,559,50334,2,553,55599,省重点,none,公办,52552
海南大学,会展经济与管理(中外合作办学),8,572,52404,9,559,50323,9,553,55003,211,一流学科,公办,52577
山东师范大学,工商管理类(地方专项计划),9,571,53863,12,557,52159,10,556,51798,省重点,none,公办,52607
成都信息工程大学,旅游管理,1,572,52649,none,none,none,none,none,none,省重点,none,公办,52649
上海海洋大学,信息管理与信息系统(中外合作办学),15,572,52859,15,556,53221,15,556,51879,省重点,一流学科,公办,52653
南通大学,行政管理,6,571,53947,none,none,none,2,556,51420,省重点,none,公办,52684
西安财经大学,工商管理,2,573,52004,2,556,53401,none,none,none,none,none,公办,52703
天津商业大学,工商管理类,5,572,52267,2,557,51797,4,554,54194,省重点,none,公办,52753
东北电力大学,信息管理与信息系统,4,574,49999,3,556,53050,3,553,55245,省重点,none,公办,52765
东北农业大学,工商管理(中美121双学位项目),3,572,52775,none,none,none,none,none,none,211,一流学科,公办,52775
东北财经大学,工商管理(中外合作办学)(与英国萨里大学合作办学),16,574,50792,12,556,53205,12,554,54976,省重点,none,公办,52991
青海大学,信息管理与信息系统,4,568,57386,9,557,51831,9,558,49907,211,一流学科,公办,53041
常州大学,物流管理,3,572,53074,none,none,none,none,none,none,省重点,none,公办,53074
青岛大学,物流管理,27,572,52574,3,558,50568,15,552,56670,省重点,none,公办,53271
中南民族大学,工商管理类,3,569,55574,4,558,50720,4,555,53740,省重点,none,公办,53345
昆明理工大学,信息管理与信息系统,3,572,52694,3,557,51561,3,553,55912,省重点,none,公办,53389
四川师范大学,公共事业管理,2,571,54030,2,559,50250,2,553,55966,省重点,none,公办,53415
新疆大学,工程管理,2,564,61420,2,560,48435,3,557,50618,211,一流大学,公办,53491
山西财经大学,行政管理,1,573,51820,1,557,51555,1,552,57168,省重点,none,公办,53514
浙江传媒学院,会展经济与管理,4,572,53097,4,555,54269,2,555,53318,none,none,公办,53561
四川师范大学,大数据管理与应用,none,none,none,2,556,53671,none,none,none,省重点,none,公办,53671
重庆交通大学,物流管理,3,575,49358,5,555,54871,3,551,57744,省重点,none,公办,53991
江西师范大学,公共管理类,4,571,54128,none,none,none,none,none,none,省重点,none,公办,54128
山东财经大学,工商管理类(地方专项计划),10,576,48033,10,558,50419,20,546,64666,省重点,none,公办,54373
北京物资学院,工商管理类,2,570,54427,none,none,none,none,none,none,none,none,公办,54427
青岛大学,旅游管理,none,none,none,6,559,49564,21,550,59318,省重点,none,公办,54441
浙江农林大学,城市管理,none,none,none,1,555,53884,1,553,55231,省重点,none,公办,54558
安徽财经大学,财务管理,4,570,54863,2,556,53138,2,553,56033,省重点,none,公办,54678
南京艺术学院,文化产业管理,none,none,none,1,555,54712,none,none,none,none,none,公办,54712
重庆理工大学,工商管理类,2,572,52939,3,556,53679,5,551,57594,省重点,none,公办,54737
中国民航大学,工业工程(航空维修工程与管理),none,none,none,8,555,54785,none,none,none,省重点,none,公办,54785
江西财经大学,土地资源管理(评估与规划),none,none,none,none,none,none,3,554,54867,省重点,none,公办,54867
西安建筑科技大学,公共管理类,4,573,51800,4,556,53002,4,550,59945,省重点,none,公办,54916
上海应用技术大学,工商管理类,3,571,54172,3,555,53870,3,552,56711,none,none,公办,54918
哈尔滨理工大学,信息管理与信息系统,2,572,52017,3,555,54025,2,549,60231,省重点,none,公办,55424
南通大学,物流管理,2,571,53438,none,none,none,2,552,57454,省重点,none,公办,55446
哈尔滨商业大学,工商管理类(会计学院),1,576,47979,8,555,54687,9,547,63678,省重点,none,公办,55448
山东科技大学,大数据管理与应用,none,none,none,48,554,55682,54,553,55253,省重点,none,公办,55468
