major,school,plan,rank
0Q文科试验班类(通用基础类),A003清华大学,1,22
56理科试验班类(理科基础类专业),A001北京大学,44,88
38临床医学类,A003清华大学,8,114
0N理科试验班类(物理基础类),A003清华大学,64,155
16文科试验班类(文科基础类专业),A001北京大学,24,158
04口腔医学,H001北京大学医学部,1,159
02临床医学,H001北京大学医学部,8,161
09基础医学,H001北京大学医学部,1,163
03临床医学,H001北京大学医学部,2,175
02电子信息类(IEEE试点班，含双学士学位项目),A248上海交通大学,4,178
05口腔医学,H001北京大学医学部,1,184
10人工智能,E430中国科学院大学,1,194
0W电气工程及其自动化,E430中国科学院大学,1,195
0G数学与应用数学,E430中国科学院大学,2,203
01人工智能(卓越人才试点班),A248上海交通大学,5,206
06预防医学,H001北京大学医学部,3,222
4K经济管理试验班,A246复旦大学,2,226
4N数学类(拔尖学生培养基地),A246复旦大学,3,228
4T工科试验班(竺可桢学院图灵班),A335浙江大学,3,248
07药学,H001北京大学医学部,5,253
01临床医学(本博连读八年制),H248上海交通大学医学院,4,267
4J机器人工程(荣誉项目班),A335浙江大学,2,273
12计算机科学与技术,E430中国科学院大学,3,278
61临床医学(8年制本博连读，卓越医生计划),H246复旦大学医学院,3,282
4T工科试验班(新工科本研贯通),A246复旦大学,5,294
0S理论与应用力学,E430中国科学院大学,1,304
0N天文学,E430中国科学院大学,1,313
0Y电子信息工程,E430中国科学院大学,2,318
14网络空间安全,E430中国科学院大学,1,321
0J物理学,E430中国科学院大学,4,341
08英语(医学英语),H001北京大学医学部,5,346
0U材料科学与工程,E430中国科学院大学,2,352
4G经济学类(拔尖学生培养基地),A246复旦大学,10,358
0Q生物科学,E430中国科学院大学,3,362
0F环境科学,E430中国科学院大学,1,365
0L化学,E430中国科学院大学,3,418
08法学(含双学士学位项目),A002中国人民大学,7,426
06口腔医学(5+3一体化),H248上海交通大学医学院,4,430
01中医学(领军人才培养计划),A026北京中医药大学,1,454
SE人工智能,A284南京大学,3,464
06金融学类(含双学士学位项目),A002中国人民大学,8,476
Z8工科试验班类(信息类),A248上海交通大学,37,484
72临床医学(5年制，卓越医生计划),H246复旦大学医学院,6,489
4Q技术科学试验班(拔尖学生培养基地),A246复旦大学,15,490
Z6法学试验班(含双学士学位项目),A248上海交通大学,1,498
12人文科学试验班(拔尖学生培养基地),A246复旦大学,5,502
01工科试验班类(计算机拔尖计划),A006北京航空航天大学,1,519
65口腔医学,H246复旦大学医学院,2,520
SC计算机科学与技术,A284南京大学,5,538
ZF工科试验班(信息),A335浙江大学,20,543
ZE理科试验班类(含致远，吴文俊、李政道班，双学士学位项目),A248上海交通大学,16,551
Z4经济管理试验班(含双学士学位项目),A248上海交通大学,12,562
4Z自然科学试验班(物理化学方向，拔尖学生培养基地),A246复旦大学,14,569
4B法学(卓越法律人才基地),A246复旦大学,2,575
4Y医学试验班(竺可桢学院巴德年医学班),A335浙江大学,8,590
13医学试验班(卓越医学创新班),H248上海交通大学医学院,9,597
ZC工科试验班,A335浙江大学,10,604
Z9理科试验班类,A335浙江大学,3,614
02理科试验班类(华罗庚数学拔尖计划),A006北京航空航天大学,1,616
SJ理科试验班类(匡亚明学院大理科班),A284南京大学,5,622
03经济学类(含双学士学位项目，拔尖人才培养基地),A002中国人民大学,9,629
76口腔医学(八年),A610四川大学,2,633
ZA工科试验班类(机电类),A248上海交通大学,20,647
48新闻传播学类(卓越新闻人才计划),A246复旦大学,3,661
06工科试验班类(未来空天领军计划),A006北京航空航天大学,4,684
0Z临床医学(八年制),A558中山大学,2,707
Z3工科试验班,A358中国科学技术大学,19,714
Z1理科试验班类,A358中国科学技术大学,25,720
9A临床医学(5+3一体化培养),H335浙江大学医学院,7,739
3F临床医学(本博贯通培养),A487华中科技大学,3,742
04新闻传播学类(含双学士学位项目),A002中国人民大学,9,749
SG软件工程,A284南京大学,7,752
S8电子信息类,A284南京大学,8,761
2B社会科学试验班(竺可桢学院人文社科实验班),A335浙江大学,3,762
52社会科学试验班(含政治及行政学、国政等专业),A246复旦大学,5,780
SS技术科学试验班,A284南京大学,12,801
05工商管理类(含国际三学士学位项目、双学士学位项目),A002中国人民大学,13,803
J6理科试验班类(含双学士学位项目，拔尖人才培养基地),A002中国人民大学,17,812
69临床医学(八年),A610四川大学,2,820
ZC工科试验班类(船建学院),A248上海交通大学,20,850
S6理科试验班(数理科学类),A284南京大学,16,851
D5口腔医学(八年制),A486武汉大学,2,867
SA工科试验班,A284南京大学,5,871
Z1自然科学试验班,A248上海交通大学,19,883
10国际政治(含双学士学位项目),A002中国人民大学,7,887
11人力资源管理(含4加1本硕国际项目),A002中国人民大学,3,903
01工科试验班(未来精工技术),A007北京理工大学,3,906
9B口腔医学(5+3一体化培养),H335浙江大学医学院,8,927
J4社会科学试验班(管理学科类，含双学士学位项目),A002中国人民大学,8,941
13理科试验班(基础学科类，含实验班项目、拔尖人才基地),A002中国人民大学,6,959
SL理科试验班类(化学与生命科学类),A284南京大学,5,962
83临床医学(八年制),A533中南大学,3,970
47工科试验班(国豪精英班),A247同济大学,4,976
C1理科试验班(弘毅学堂),A486武汉大学,3,984
